歌单标题,作者,播放数,链接url,作者主页url
薛之谦创作歌曲集,喜欢吃钙片,13926000,https://y.qq.com/n/yqq/playsquare/3269852386.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oK6P7wSsoi-5Nn**#stat=y_new.playlist.creater
全是回忆！那些年火到不行的校园情歌,安多,22593000,https://y.qq.com/n/yqq/playsquare/2345289098.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oK-AoeCs7i4A7v**#stat=y_new.playlist.creater
如果眼泪有记忆，那它一定听过孙燕姿,kuby,6872000,https://y.qq.com/n/yqq/playsquare/844538289.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=owCAoivl7Kclon**#stat=y_new.playlist.creater
考完试来一首Future House,玫瑰王,2945000,https://y.qq.com/n/yqq/playsquare/3289198761.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oKvzoen5oeClNn**#stat=y_new.playlist.creater
Kawaii bass：少女心爆棚的萌动电子,爱时乐c,771000,https://y.qq.com/n/yqq/playsquare/4204045569.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oK4q7wEP7enFon**#stat=y_new.playlist.creater
温柔夜曲：沉醉在朦胧月色里,念葳蕊,553000,https://y.qq.com/n/yqq/playsquare/5282273001.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oKns7ioiNeoA7v**#stat=y_new.playlist.creater
悠闲休憩时光 · 华语温润女声,蘑菇,4006000,https://y.qq.com/n/yqq/playsquare/4162546250.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oKnlNKnq7w6P7z**#stat=y_new.playlist.creater
别丧！失落时来一剂舒缓女声,念安娜,784000,https://y.qq.com/n/yqq/playsquare/5919880166.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=NKvkoKclNe-l#stat=y_new.playlist.creater
可爱俏皮风：卖萌我就是NO.1,还不是因为你长得不好看,618000,https://y.qq.com/n/yqq/playsquare/3274057131.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=7e4A7iSkoKcF#stat=y_new.playlist.creater
听完就想跳一曲！动感拉丁精选,弓长,629000,https://y.qq.com/n/yqq/playsquare/4185488066.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=7eS57evzoi4z#stat=y_new.playlist.creater
曾是你先表的白，出不来的却是我,鹿仁,863000,https://y.qq.com/n/yqq/playsquare/6555387822.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oKSP7iEz7i6lov**#stat=y_new.playlist.creater
《夏目友人帐》の治愈音乐集,私に闻いて风i,772000,https://y.qq.com/n/yqq/playsquare/1758453281.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oKc5owEPNeo5oz**#stat=y_new.playlist.creater
心情调味剂 · 这些歌有点小俏皮,就是一个听歌der,713000,https://y.qq.com/n/yqq/playsquare/6754468544.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=owvz7i6PowSA7z**#stat=y_new.playlist.creater
绵情女声｜关于温柔的一百种模样,腾讯音乐人,1128000,https://y.qq.com/n/yqq/playsquare/5641352054.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oiv5oicioiS5Nn**#stat=y_new.playlist.creater
静心民谣：颓废思绪安心剂,鹿仁,764000,https://y.qq.com/n/yqq/playsquare/6747928266.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oKSP7iEz7i6lov**#stat=y_new.playlist.creater
欧巴呀，请收下我的可爱炮弹！,金琳达,505000,https://y.qq.com/n/yqq/playsquare/6754877814.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=owSsoKnzoiSP7v**#stat=y_new.playlist.creater
国际妇女节 · 独立女性之声,Jane&Danny,1172000,https://y.qq.com/n/yqq/playsquare/6788705801.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=owc57iCq7eEqon**#stat=y_new.playlist.creater
独处时光 · 孤独的人不听情歌,念安娜,897000,https://y.qq.com/n/yqq/playsquare/6751506187.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=NKvkoKclNe-l#stat=y_new.playlist.creater
轻快英文小调 | 踢走颓废君,心情如歌单,872000,https://y.qq.com/n/yqq/playsquare/6692086688.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=owcl7i4soe-s7v**#stat=y_new.playlist.creater
缘分已尽，余生你我何必再纠缠,念葳蕊,620000,https://y.qq.com/n/yqq/playsquare/6543656527.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oKns7ioiNeoA7v**#stat=y_new.playlist.creater
《绿皮书》电影原声合集,Sugarbling。Ada,1024000,https://y.qq.com/n/yqq/playsquare/6725870716.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oi-A7wEl7KSAon**#stat=y_new.playlist.creater
元气弹来袭！炸翻坏情绪,穿着皮鞋跳大神,775000,https://y.qq.com/n/yqq/playsquare/6689258475.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oi4AoKv5NK4s7n**#stat=y_new.playlist.creater
Bass House｜肆意放纵的魔性低音,Music Fans,3314000,https://y.qq.com/n/yqq/playsquare/4221149110.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oKCzoe6FNKvloc**#stat=y_new.playlist.creater
