歌单标题,播放数,链接url
高 级 感 vlog 纯音乐 BGM,11680000,https://music.163.com/playlist?id=2369772502
化妆拍照BGM.,5590000,https://music.163.com/playlist?id=2434987000
攒了一大堆好听的歌想和你一起听,60330000,https://music.163.com/playlist?id=2353471182
2018年度最热新歌TOP100,61910000,https://music.163.com/playlist?id=2578068117
那些喜欢到循环播放的歌,74490000,https://music.163.com/playlist?id=2466312782
失恋必听歌单 | 因为你突然听懂了很多歌,38740000,https://music.163.com/playlist?id=2385384236
Gifty 很美味 叽叽 二嘉 可乐 西柚 一口甜,6430000,https://music.163.com/playlist?id=2489592180
精选丨林宥嘉 薛之谦 徐秉龙 毛不易 李荣浩,14640000,https://music.163.com/playlist?id=2353275887
抖音歌曲大全,5630000,https://music.163.com/playlist?id=2428607226
绝版歌曲，劲爆电音，英文纯音，应有尽有！,5720000,https://music.163.com/playlist?id=2525632823
开口即俘获人心，一听就爱上的英文歌 ②,5890000,https://music.163.com/playlist?id=2429537442
"""若是心怀旧梦 就别再无疾而终""",13810000,https://music.163.com/playlist?id=2474537199
再见大侠：武侠小说泰斗金庸逝世,8730000,https://music.163.com/playlist?id=2492536378
给猪猪甜甜的歌单,5910000,https://music.163.com/playlist?id=2456961456
社会人摇头必备嗨曲（极嗨）,6040000,https://music.163.com/playlist?id=2467197621
怀旧 | 闲暇细数90后的回忆杀,11190000,https://music.163.com/playlist?id=2395304063
别急，甜甜的恋爱马上就轮到你了,33950000,https://music.163.com/playlist?id=2430524968
「青春印象」有没有一首歌瞬间勾起你的回忆,7020000,https://music.163.com/playlist?id=2452681243
初恋糖配料表：你的马尾辫和衬衫味道,7110000,https://music.163.com/playlist?id=2497731034
那些超带感的英文歌曲~『一秒沦陷』,5440000,https://music.163.com/playlist?id=2390539027
給你全宇宙的愛亘古不變,5120000,https://music.163.com/playlist?id=2445944292
欧美·耳朵怀孕 | 盘点那些流行歌手,8220000,https://music.163.com/playlist?id=2430220144
【2018年度电影精选| Ready Story 】,9740000,https://music.163.com/playlist?id=2563772680
遥不可及 | 还有多远才能进入你的心,7860000,https://music.163.com/playlist?id=2520454912
KTV必点：有没有一首歌，唱着唱着就泪奔,10990000,https://music.163.com/playlist?id=2557918409
新的一年，希望你喜欢的人也喜欢你,9270000,https://music.163.com/playlist?id=2553249650
华语百首｜好听的才是耳朵最想要的,5510000,https://music.163.com/playlist?id=2459811044
有趣的歌，实在是一味行走的良药,5090000,https://music.163.com/playlist?id=2618676816
你有没有喜欢很久却错过的人?,7820000,https://music.163.com/playlist?id=2617430576
在你最无助的时候，哪首歌曾治愈了你？,5790000,https://music.163.com/playlist?id=2669381196
隔壁老樊的孤单,11960000,https://music.163.com/playlist?id=2476882724
你还年轻，可以成为想成为的人,6200000,https://music.163.com/playlist?id=2666769294
听说你也在找好听的华语歌,55050000,https://music.163.com/playlist?id=2438292020
温柔暴击 | 沉溺于男友音的甜蜜乡,24770000,https://music.163.com/playlist?id=2511560749
破万评论国风古风 哪一首藏着你的故事,9020000,https://music.163.com/playlist?id=2357742963
粤语无前奏 | 开口即深情 入耳便钟意,6400000,https://music.163.com/playlist?id=2512725665
愿每个孤独的人 都有属于自己的歌,5760000,https://music.163.com/playlist?id=2564404001
「看书学习」在安静的位置看热闹的世界,5370000,https://music.163.com/playlist?id=2426530028
最是粤语最为情深 也唯独你最难忘怀,19550000,https://music.163.com/playlist?id=2388322013
2019年一月最热新歌TOP50,7780000,https://music.163.com/playlist?id=2649779495
关于孤独 它可以有100种讲述方式,5910000,https://music.163.com/playlist?id=2505617952
听歌最怕应景，睹物最怕思人,5190000,https://music.163.com/playlist?id=2621874307
会讲故事的男声 歌词唱的太像自己,8840000,https://music.163.com/playlist?id=2546228760
「99999+大赏」那些评论爆炸的华语歌！,5850000,https://music.163.com/playlist?id=2360752548
试 着 安 静 地 听 完 一 整 首 歌,6480000,https://music.163.com/playlist?id=2634350920
精选 | 网络热歌分享,5630000,https://music.163.com/playlist?id=2602222983
早 / 睡 / 早 / 起 ：愿你生活温暖且美好,6040000,https://music.163.com/playlist?id=2585806368
失恋自愈手册 该听多少首歌才能忘了你,5510000,https://music.163.com/playlist?id=2534451902
